Tree,X,Y,Type,Caliper_DBH,Corteza Rugosa,1,2,3,4,5,6,7,8,9,10,Media,RANSAC_DBH,1,2,3,4,5,6,7,8,9,10,Media,Monte Carlo_DBH,Optimal Circle_DBH,,,
1,448156.869,4432065.342,ok,1.343,0,,,,,,,,,,,,1.296,,,,,,,,,,,,1.234,1.252,,,
2,448163.531,4432066.729,ok,1.219,0,1.024,1.124,1.138,1.220,1.180,0.800,1.170,1.208,1.140,1.230,1.123,1.208,1.165,1.173,1.161,1.161,1.167,1.165,1.173,1.169,1.173,1.167,1.167,1.164,1.174,,,
3,448170.103,4432067.805,DBH < 10 cm.,0.090,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
4,448155.376,4432072.295,ok,1.019,0,,,,,,,,,,,,0.842,,,,,,,,,,,,0.891,0.892,,,
5,448161.773,4432073.912,ok,0.840,0,0.768,0.770,0.746,0.780,0.846,0.790,0.854,0.902,0.860,0.806,0.812,0.856,0.826,0.830,0.831,0.833,0.826,0.820,0.819,0.827,0.834,0.823,0.827,0.826,0.826,,,
6,448168.584,4432075.545,DBH < 10 cm.,0.080,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
7,448154.272,4432079.188,ok,1.054,0,,,,,,,,,,,,1.088,,,,,,,,,,,,1.053,1.062,,,
8,448160.590,4432080.656,DBH < 10 cm.,0.070,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
9,448167.690,4432082.061,ok,0.936,0,,,,,,,,,,,,1.032,,,,,,,,,,,,0.959,0.952,,,
10,448152.441,4432085.871,ok,0.987,0,,,,,,,,,,,,0.972,,,,,,,,,,,,0.974,0.974,,,
11,448159.259,4432087.586,DBH < 10 cm.,0.080,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
13,448150.937,4432092.623,ok,1.063,0,,,,,,,,,,,,0.940,,,,,,,,,,,,1.005,0.997,,,
14,448157.855,4432094.337,ok,0.910,0,,,,,,,,,,,,0.832,,,,,,,,,,,,0.877,0.879,,,
18,448163.138,4432102.741,ok,0.920,0,,,,,,,,,,,,0.900,,,,,,,,,,,,0.877,0.874,,,
19,448147.712,4432106.658,ok,0.987,0,,,,,,,,,,,,0.924,,,,,,,,,,,,0.888,0.883,,,
20,448155.022,4432108.243,ok,0.859,0,,,,,,,,,,,,0.748,,,,,,,,,,,,0.826,0.832,,,
